timestamp,iso_local,detector,event_code,event
1784504346.343,2026-07-19 17:39:06.343,40,81,off
1784504346.553,2026-07-19 17:39:06.553,41,81,off
1784504346.553,2026-07-19 17:39:06.553,46,81,off
1784504346.553,2026-07-19 17:39:06.553,48,82,on
1784504347.161,2026-07-19 17:39:07.161,2,81,off
1784504347.161,2026-07-19 17:39:07.161,3,81,off
1784504347.962,2026-07-19 17:39:07.962,34,82,on
1784504347.962,2026-07-19 17:39:07.962,35,82,on
1784504347.962,2026-07-19 17:39:07.962,40,82,on
1784504348.089,2026-07-19 17:39:08.089,46,82,on
1784504348.089,2026-07-19 17:39:08.089,48,81,off
1784504349.075,2026-07-19 17:39:09.075,34,81,off
1784504349.075,2026-07-19 17:39:09.075,35,81,off
1784504349.075,2026-07-19 17:39:09.075,40,81,off
1784504349.205,2026-07-19 17:39:09.205,47,82,on
1784504349.577,2026-07-19 17:39:09.577,2,82,on
1784504349.936,2026-07-19 17:39:09.935,29,82,on
1784504350.129,2026-07-19 17:39:10.129,34,82,on
1784504350.129,2026-07-19 17:39:10.129,36,82,on
1784504350.339,2026-07-19 17:39:10.339,48,82,on
1784504351.353,2026-07-19 17:39:11.353,29,81,off
1784504351.562,2026-07-19 17:39:11.561,36,81,off
1784504351.768,2026-07-19 17:39:11.767,47,81,off
1784504353.125,2026-07-19 17:39:13.124,35,82,on
1784504353.310,2026-07-19 17:39:13.310,47,82,on
1784504353.310,2026-07-19 17:39:13.310,48,81,off
1784504354.538,2026-07-19 17:39:14.538,35,81,off
1784504354.538,2026-07-19 17:39:14.538,40,82,on
1784504356.165,2026-07-19 17:39:16.164,34,81,off
1784504356.165,2026-07-19 17:39:16.164,40,81,off
1784504356.379,2026-07-19 17:39:16.378,47,81,off
1784504356.379,2026-07-19 17:39:16.378,48,82,on
1784504357.393,2026-07-19 17:39:17.392,19,82,on
1784504358.623,2026-07-19 17:39:18.623,7,81,off
1784504359.044,2026-07-19 17:39:19.043,19,81,off
1784504359.389,2026-07-19 17:39:19.389,34,82,on
1784504359.389,2026-07-19 17:39:19.389,35,82,on
1784504359.389,2026-07-19 17:39:19.389,40,82,on
1784504359.997,2026-07-19 17:39:19.997,7,82,on
1784504360.636,2026-07-19 17:39:20.636,35,81,off
1784504360.636,2026-07-19 17:39:20.636,40,81,off
1784504360.779,2026-07-19 17:39:20.778,47,82,on
1784504360.779,2026-07-19 17:39:20.778,48,81,off
1784504361.193,2026-07-19 17:39:21.193,7,81,off
1784504362.509,2026-07-19 17:39:22.509,7,82,on
1784504364.777,2026-07-19 17:39:24.777,34,81,off
1784504366.312,2026-07-19 17:39:26.311,34,82,on
1784504367.748,2026-07-19 17:39:27.748,30,82,on
1784504368.054,2026-07-19 17:39:28.053,41,82,on
1784504368.054,2026-07-19 17:39:28.053,47,81,off
1784504369.280,2026-07-19 17:39:29.280,34,81,off
1784504369.478,2026-07-19 17:39:29.478,41,81,off
1784504370.096,2026-07-19 17:39:30.096,3,82,on
1784504370.096,2026-07-19 17:39:30.096,7,81,off
1784504370.609,2026-07-19 17:39:30.609,30,81,off
1784504370.819,2026-07-19 17:39:30.818,35,82,on
1784504370.819,2026-07-19 17:39:30.818,40,82,on
1784504371.532,2026-07-19 17:39:31.532,3,81,off
1784504371.532,2026-07-19 17:39:31.532,7,82,on
1784504372.448,2026-07-19 17:39:32.448,35,81,off
1784504372.448,2026-07-19 17:39:32.448,40,81,off
1784504373.274,2026-07-19 17:39:33.273,7,81,off
1784504374.911,2026-07-19 17:39:34.911,7,82,on
1784504375.529,2026-07-19 17:39:35.528,29,82,on
1784504375.728,2026-07-19 17:39:35.728,36,82,on
1784504377.135,2026-07-19 17:39:37.135,36,81,off
1784504381.350,2026-07-19 17:39:41.350,29,81,off
1784504381.561,2026-07-19 17:39:41.561,35,82,on
1784504382.795,2026-07-19 17:39:42.794,19,82,on
