timestamp,timestamp_utc,camera_id,deleted_file,kept_file,deleted_start_ts,deleted_end_ts,kept_start_ts,kept_end_ts,deleted_duration_sec,bytes_reclaimed,log_rows_updated,tolerance_sec
1785701109.956695,2026-08-02 20:05:09 UTC,fisheye,2230644c_fisheye_1785700742.ts,48a54cba_fisheye_1785700691.ts,1785700736.182,1785700748.131,1785700680.259,1785700863.759,11.950,845248,1,0.5
1785701109.956695,2026-08-02 20:05:09 UTC,fisheye,d3dd4e1b_fisheye_1785700764.ts,48a54cba_fisheye_1785700691.ts,1785700754.757,1785700781.007,1785700680.259,1785700863.759,26.250,1776976,1,0.5
1785701109.956695,2026-08-02 20:05:09 UTC,fisheye,25df8250_fisheye_1785700790.ts,48a54cba_fisheye_1785700691.ts,1785700779.588,1785700809.388,1785700680.259,1785700863.759,29.800,1842400,1,0.5
1785701413.186572,2026-08-02 20:10:13 UTC,fisheye,8206e6f6_fisheye_1785701078.ts,2af22863_fisheye_1785701058.ts,1785701071.008,1785701096.058,1785701052.411,1785701253.161,25.050,1809312,1,0.5
1785701413.186572,2026-08-02 20:10:13 UTC,fisheye,e4f5decf_fisheye_1785701275.ts,486bf23a_fisheye_1785701115.ts,1785701269.517,1785701287.617,1785701108.127,1785701297.776,18.100,1082504,1,0.5
1785701716.454170,2026-08-02 20:15:16 UTC,fisheye,08e3bbb2_fisheye_1785701417.ts,80430a83_fisheye_1785701354.ts,1785701405.799,1785701453.949,1785701343.834,1785701476.283,48.150,2872452,1,0.5
1785701716.454170,2026-08-02 20:15:16 UTC,fisheye,e379e102_fisheye_1785701606.ts,f9d49c5c_fisheye_1785701587.ts,1785701598.016,1785701622.116,1785701579.395,1785701646.645,24.100,1747836,1,0.5
1785701716.454170,2026-08-02 20:15:16 UTC,fisheye,d01c8f1c_fisheye_1785701624.ts,f9d49c5c_fisheye_1785701587.ts,1785701616.519,1785701628.419,1785701579.395,1785701646.645,11.900,799188,1,0.5
1785702019.836850,2026-08-02 20:20:19 UTC,fisheye,e77c4fbe_fisheye_1785701735.ts,5461fb85_fisheye_1785701735.ts,1785701728.268,1785701752.618,1785701728.138,1785701753.288,24.350,1715688,1,0.5
1785702323.327619,2026-08-02 20:25:23 UTC,fisheye,0ce9df78_fisheye_1785702068.ts,0b877af7_fisheye_1785702066.ts,1785702062.966,1785702127.365,1785702056.813,1785702127.363,64.400,4302192,1,0.5
1785702323.327619,2026-08-02 20:25:23 UTC,fisheye,2f72f1cb_fisheye_1785702243.ts,c6c740d4_fisheye_1785702241.ts,1785702236.609,1785702251.159,1785702230.413,1785702256.713,14.550,896196,1,0.5
1785702626.824066,2026-08-02 20:30:26 UTC,fisheye,5e692f7c_fisheye_1785702431.ts,05312e62_fisheye_1785702423.ts,1785702422.480,1785702437.880,1785702416.416,1785702443.566,15.400,887360,1,0.5
1785703234.143682,2026-08-02 20:40:34 UTC,fisheye,27a07a94_fisheye_1785702904.ts,f64f0c22_fisheye_1785702896.ts,1785702893.806,1785702910.356,1785702887.574,1785703003.573,16.550,1114464,1,0.5
