Local_Timestamp,Trigger_ID,Video_Filename,Rule_Type,Det_A,Det_B,Description
2026-07-31 20:28:32 MDT,5d16bda0cba648beb754bc30e0d43e9f,5d16bda0_fisheye_1785551314.ts,rule2_orphan_pulse,38,24,"orphan on detector '24': orphan pulse duration=0.992s window=[1785551301.092, 1785551312.084]"
2026-07-31 20:28:32 MDT,549c9235d664481c8f2955bb87ca96bc,549c9235_fisheye_1785551314.ts,rule2_orphan_pulse,24,7,"orphan on detector '24': orphan pulse duration=0.992s window=[1785551301.092, 1785551312.084]"
2026-07-31 20:29:22 MDT,f205f59c08914af78284311a6f18cb44,f205f59c_fisheye_1785551362.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=4.699s window=[1785551347.254, 1785551361.954]"
2026-07-31 20:29:33 MDT,8278bed40f724936b38a19b28187053b,8278bed4_fisheye_1785551374.ts,rule1_continuous_disagreement,41,30,"detector '30' ON, detector '41' OFF for 5.049s (threshold=5.0s)"
2026-07-31 20:29:46 MDT,5ecb24ad58334bc590a262328eec2f03,5ecb24ad_fisheye_1785551387.ts,rule2_orphan_pulse,43,29,"orphan on detector '29': orphan pulse duration=1.61s window=[1785551374.421, 1785551386.030]"
2026-07-31 20:30:37 MDT,23b057fbd4de4b9398a1e660a8c0c3a3,23b057fb_fisheye_1785551437.ts,rule2_orphan_pulse,31,8,"orphan on detector '8': orphan pulse duration=3.978s window=[1785551423.273, 1785551437.251]"
2026-07-31 20:30:37 MDT,e463256ff9d14c6084c621df8ffd54f1,e463256f_fisheye_1785551437.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=3.978s window=[1785551423.273, 1785551437.251]"
2026-07-31 20:31:10 MDT,9573fe68d83f4e00a4f8c50ee62f805a,9573fe68_fisheye_1785551472.ts,rule2_orphan_pulse,33,26,"orphan on detector '26': orphan pulse duration=1.632s window=[1785551459.016, 1785551470.648]"
2026-07-31 20:33:06 MDT,5fc91132d22d454f9bf3d3c4a211221f,5fc91132_fisheye_1785551587.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.036s (threshold=5.0s)"
2026-07-31 20:33:06 MDT,a4e76353b44e4339a9e741af11a426f0,a4e76353_fisheye_1785551587.ts,rule1_continuous_disagreement,8,42,"detector '8' ON, detector '42' OFF for 5.043s (threshold=5.0s)"
2026-07-31 20:33:17 MDT,eeb49be8fe58406ab36b985c6180046f,eeb49be8_fisheye_1785551597.ts,rule2_orphan_pulse,41,30,"orphan on detector '30': orphan pulse duration=1.281s window=[1785551586.155, 1785551597.435]"
2026-07-31 20:33:18 MDT,757e43d012ca4173b1865fd626552d63,757e43d0_fisheye_1785551599.ts,rule2_orphan_pulse,3,41,"orphan on detector '3': orphan pulse duration=1.589s window=[1785551586.795, 1785551598.384]"
2026-07-31 20:33:58 MDT,d042311475134d248904fae3088812d3,d0423114_fisheye_1785551640.ts,rule2_orphan_pulse,39,22,"orphan on detector '22': orphan pulse duration=0.681s window=[1785551628.264, 1785551638.945]"
2026-07-31 20:33:59 MDT,60c8f2c42f6d4e689d3152bfc78b20a3,60c8f2c4_fisheye_1785551640.ts,rule2_orphan_pulse,38,24,"orphan on detector '24': orphan pulse duration=0.683s window=[1785551629.281, 1785551639.963]"
2026-07-31 20:35:31 MDT,c52ebfb5e5284a75acefed284c903dde,c52ebfb5_fisheye_1785551733.ts,rule1_continuous_disagreement,31,8,"detector '8' ON, detector '31' OFF for 5.046s (threshold=5.0s)"
2026-07-31 20:35:31 MDT,aff7fba75f254a06a0a667085733a1d4,aff7fba7_fisheye_1785551733.ts,rule1_continuous_disagreement,8,42,"detector '8' ON, detector '42' OFF for 5.051s (threshold=5.0s)"
2026-07-31 20:35:42 MDT,d7e968625ada4370a68359d303fea8ca,d7e96862_fisheye_1785551743.ts,rule2_orphan_pulse,41,30,"orphan on detector '30': orphan pulse duration=0.985s window=[1785551731.583, 1785551742.568]"
2026-07-31 20:35:43 MDT,f67fa8a3a18a48fca383fb2cb29457ca,f67fa8a3_fisheye_1785551743.ts,rule2_orphan_pulse,3,41,"orphan on detector '3': orphan pulse duration=0.982s window=[1785551732.568, 1785551743.549]"
2026-07-31 20:37:15 MDT,c556f4ea040f4ad18129000898a0a14d,c556f4ea_fisheye_1785551836.ts,rule2_orphan_pulse,38,24,"orphan on detector '24': orphan pulse duration=0.649s window=[1785551825.040, 1785551835.689]"
2026-07-31 20:37:15 MDT,32a658e4dfd648f0a1e55fc34f625e11,32a658e4_fisheye_1785551836.ts,rule2_orphan_pulse,24,7,"orphan on detector '24': orphan pulse duration=0.649s window=[1785551825.040, 1785551835.689]"
2026-07-31 20:38:41 MDT,ac09aa43fead4323a4330a84f40b22ca,ac09aa43_fisheye_1785551922.ts,rule2_orphan_pulse,31,8,"orphan on detector '8': orphan pulse duration=4.58s window=[1785551906.356, 1785551920.936]"
2026-07-31 20:38:41 MDT,71cdc88dba4d4d208dd0f3a962e4baa2,71cdc88d_fisheye_1785551922.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=4.58s window=[1785551906.356, 1785551920.936]"
2026-07-31 20:39:06 MDT,ddd3f687c7c64c5eba34ae516129239d,ddd3f687_fisheye_1785551948.ts,rule2_orphan_pulse,8,42,"orphan on detector '8': orphan pulse duration=4.798s window=[1785551931.901, 1785551946.700]"
2026-07-31 20:40:00 MDT,f47074f6d98743cebafe928614c48f8c,f47074f6_fisheye_1785552001.ts,rule2_orphan_pulse,38,24,"orphan on detector '24': orphan pulse duration=0.662s window=[1785551990.141, 1785552000.803]"
